,Comment,Classes,ner_text,ner_comments
790,progressive ,Neutral,,
791,see comment four fiekd supervisor ,Very Poor,four,four
792,thank update however need clearly explain task example happened interview set interview carried interview etc explain becomes clear good job keep ,Very Poor,,
793,lucky execute sql command using php mysql meaning developing ability interact manipulate database usinggraphical user interface ,Very Poor,,
794,ssemuga started internship stratcom well ,Poor,ssemuga,ssemuga
795,successfully completed weektasks configuringcisco router dhcp server configuring end device dhcp client dismantling assembling laptop ,Excellent,,
796,able handle website development week ,Very Poor,,
797,progressive task hand irrespective internet issue ,Very Poor,,
798,assignment student time helped company modify implementation methodology customization doctypes creation custom application use web form different module also impressive ,Very Poor,,
799,iann proactive managed accomplish next week task within week change asked make effected give time optimize experiment ,Very Poor,"next week, week","next week, week"
800,write php mysqli script hasproblem formulating software process flawconnected teamviewer deploy file remote server gotproblem git ,Very Poor,,
801,progressive ,Neutral,,
802,andrew successfully completed weekmain task dismantling assembling laptop configuringlayer 3 device asdhcp server configuring static route ,Excellent,"andrew successfully, 3","andrew successfully, 3"
803,impressed database structure need worklittle fast meet deadline good ,Very Poor,,
804,good work done joshua showing enough knowledge linux operating system andwant work good use skill ,Good,,
805,creative work finished week focus system development ,Very Poor,week,week
806,davis successfully set mobile app development enviroment ,Poor,davis,davis
807,intern good relationship partner ,Good,,
808,good work zaharah keep ,Good,,
809,yvette successfully set mobile app development enviroment without challenge ,Poor,yvette,yvette
810,sam passionate networking managed start internship stratcom despite current restriction ,Poor,sam passionate networking,sam passionate networking
811,successfully completed graphic design ,Excellent,,
812,louisa managed set mobile app development enviroment without challenge ,Poor,,
813,multitasking another characteristic saw alot week ,Very Poor,,
814,task week completed work reviewed git repository ,Excellent,task week,task week
815,josephknowledge common image manipulation like blurring sharpening good enabled quickly understand adapt problem solved ,Very Poor,,
816,hepassionate networking making easy understand concept easily ,Very Poor,,
817,emmanuel able perform system update installed printer driver successfully ,Very Poor,,
818,challenged knowing word press ,Very Poor,,
819,steven successfully completed weektasks configuring static route layer 3 device inter vlan routing using router stick activating remote access protocol device ssh telnet ,Excellent,3,3
820,handled given task well getting good reaching outgoing confident presenting work great input seen idea around new feature good job ,Good,,
821,work need done term providing user support window 10 otherwise solomon basic window 10 ,Very Poor,"10, 10","10, 10"
822,ronald successfully completed weektasks interconnect configure layer 2 device ease ,Excellent,"ronald successfully, 2","ronald successfully, 2"
823,nansamba nuluyati good project management skill andgood attitude ,Good,nansamba nuluyati good project,nansamba nuluyati good project
824,completed integration api website tested establish usability informed bug fixed never le retested prove bug indeed working perfectly client happy particular feature showed one time member integratepayment system api part tasksgave establish leadership skill well ,Very Poor,one,one
825,despitefew challenge aida managed start internship stratcom completed weekmain task setting development environment formessaging app ,Poor,,
826,thanks benadette diligence improved attitude week keep ,Very Poor,,
827,week task help intern get familiar problem working alvinunderstanding machine learning isgreat asset able quickly interpret concept upcoming task ,Very Poor,,
828,interested learning limited know exploration thing first week internship development team wassuccess ,Very Poor,first week,first week
829,progressive irrespective network challenge ,Very Poor,,
830,progressive ,Neutral,,
831,good ethic team work ,Good,,
832,stom successfully completed weekmain task setting development environment formobile app ,Excellent,,
833,successfully completed task week ,Excellent,,
834,task well done ,Excellent,,
835,following colleague laptop also git since time discus project assignment accordingly ,Very Poor,,
836,thanks kenneth staying committed despite challengesencourage improve communication team supporting ,Very Poor,kenneth staying,kenneth staying
837,significant frontend fix well done ,Very Poor,,
838,interested learning limited know exploration thing first week internship development team wassuccess ,Very Poor,first week,first week
839,perfected command needed configure cisco router switch ,Very Poor,,
840,junior successfully completed weekmain task without challenge also deployed messaging app online accessed anyone connected internet ,Excellent,,
841,long respect sop put onmask sarah wonhave issue traffic officer ,Very Poor,,
842,chrispus successfully completed weektasks heprogressing well ,Excellent,,
843,collins met expectation week ,Very Poor,,
844,despitefew challenge especially power blackout abudlah managed set mobile app development enviroment ,Poor,abudlah,abudlah
845,successfully completed weekmain task setting development environment mobile app ,Excellent,,
846,thanks alex positive attitude exhibited far essential professional personal development keep ,Very Poor,,
847,received spreadsheet please check presence non alphanumeric character ,Very Poor,,
848,mariam managed debug coding error also set mobile app development ,Poor,mariam,mariam
849,mary successfully set development enviroment mobile app ,Poor,,
850,student learnt troubleshoot diagnose recognise ram related problem incomputer remedy correct problem ,Very Poor,student learnt troubleshoot,student learnt troubleshoot
851,picking well havinggood team work spirit ,Very Poor,,
852,encourage resty upgrade machine ,Very Poor,,
853,joshua successfully set mobile app development enviroment ,Poor,joshua successfully,joshua successfully
854,togreat start fortunately major topic required taught university especially networking database management making easy progress ,Very Poor,,
855,encourage sandra get used debugging also upgrade machine ,Very Poor,,
856,pamella managed complete weekmain task setting mobile app development enviroment ,Poor,,
857,hilda hadfew issue io command managed get ,Very Poor,,
858,dauglas successfully deployed messaging app online accessed one connected internet offer valid 4 month ,Very Poor,4 month,4 month
859,costumer user interface presented customer could use system successful ,Very Poor,,
860,slow machine frustrate developer soencourage marvin upgrade machine good performance ,Good,,
861,despite afew challenge edwin managed complete weektask setting mobile app development enviroment ,Poor,,
862,despite afew challenge francis managed set development enviroment formobile delivery appencourage upgrade machine good performance ,Poor,,
863,katumba familiar basic php use write simple ussd application deploy code remote server github ,Very Poor,,
864,martha successfully set development enviroment mobile app ,Poor,martha,martha
865,successfully set mobile app development enviroment ,Poor,,
866,didnface challenge week completed task ease ,Excellent,didnface challenge week,didnface challenge week
867,warid successfully set mobile app development enviroment ,Poor,,
868,successfully set development enviroment mobile delivery app ,Poor,,
869,progressive ,Neutral,,
870,ismail learn go extra mile research internet new technology concept ,Very Poor,,
871,sometimes network issue innevitable soencourage samson make use recorded video importantly contact lead developer always ready help ,Very Poor,,
872,moses successfully set development enviroment mobile appalso encourage upgrade machine good user experience ,Very Poor,,
873,jackson successfully completed weekmain task setting development enviroment mobile app ,Excellent,jackson successfully completed weekmain task setting development enviroment mobile app,jackson successfully completed weekmain task setting development enviroment mobile app
874,elijah get used debugging since itpart coding ,Very Poor,,
875,despite afew challenge especially power black out emmilly successfuly set mobile app development enviroment ,Poor,,
876,fast machine make work easy fordeveloper soencourage samuel upgrade laptop ,Very Poor,,
877,phiona managed set mobile app development enviroment ,Poor,phiona,phiona
878,collins managed complete weekmain task setting development enviroment mobile delivery app ,Poor,,
879,third week musumbainternship place regardless remote nature placement didnrequirelot supervision finish work timely consistent take message writes correspondence needed doinggreat job u ,Very Poor,third week,third week
880,despite transport challenge leticia managed start internship stratcom well ,Poor,,
881,impressed quickly learned use data analysis library forte front end developmentlook forward seeing use insight guide frontend api development data ,Very Poor,,
882,advised collate result questionnaire ,Very Poor,,
883,successfully completed weekmain task setting development environment mobile delivery app ,Excellent,,
884,joanita obtained knowledge php also push code github repository ,Very Poor,,
885,thank priscilla progress made far keep spirit please cooperate colleague devops attache make sure commit push code server ,Very Poor,,
886,nsimbe push code github repository still learning basic php ,Very Poor,,
887,thank shivan progress registered week keep spirit progress assignment ,Very Poor,week,week
888,kenneth upgrade machine good performance ,Good,kenneth upgrade,kenneth upgrade
889,joshua perfected command needed configure dynamic default route router ,Very Poor,joshua perfected command needed,joshua perfected command needed
890,despite afew challenge like transport williams managed start internship stratcom hedoing well ,Poor,williams,williams
891,colleague collate questionnaire response ,Very Poor,,
892,always willing perform personal research hasspirit team work ,Very Poor,,
893,machine freeze frustrate developerencourage daniel upgrade machine good performance ,Good,,
894,raymond managed complete weekmain task setting mobile app development enviroment without challenge ,Poor,raymond,raymond
895,magembe getting familiar working web technology well deployment software production server ,Very Poor,,
896,good work ,Good,,
897,task week mainly orient diana understanding data kind problem shall working andam satisfied eda conducted far interaction ,Very Poor,diana understanding,diana understanding
898,progressive ,Neutral,,
899,steadily progressing promising ,Very Poor,,
900,interested learning limited know exploration thing first week internship development team wassuccess ,Very Poor,first week,first week
901,research different data type function class c ,Very Poor,,
902,successfully set development enviroment formobile delivery app ,Poor,,
903,joshua extremely eager learn take new challenge several task week successfully administered joshua minimum supervision haveregistered excellent working ethic improvement week week generatedproject report mobvet designed developedproduct order form task listed progress evident thanks ,Very Poor,week week,week week
904,research onpublic private class ,Very Poor,,
905,sharon made quick work categorization data based different attribute dataset filter created help summarizing data also proactive constant consultation update ongoing work ,Very Poor,sharon,sharon
906,good progress andrew keep spirit ,Good,,
907,alex successfully set mobile app development enviromentalso encourage always consult lead developer incase fails debug coding error ,Poor,alex successfully,alex successfully
908,despite afew challenge sheprogressing well ,Very Poor,,
909,indicated progress task assigned intern week 3 reviewed acknowledged ,Very Poor,week 3,week 3
910,please specific task undertook rather saying undertook several task dataset used public would necessary provide link source initial project didnhave anything call log data water portability anything change along way ,Very Poor,,
911,ruth managed set mobile app development enviroment without challenge ,Poor,ruth,ruth
912,successfully completed weekmain task configuring routing protocol layer 3 device installing software operating system application software end device ,Excellent,3,3
913,managed complete weekmain task configuring vlans layer 2 device intervlan routing using router stick method ,Excellent,2,2
914,rafusanjani writeussd application small experience ,Very Poor,rafusanjani,rafusanjani
915,coding error part coding ian get used debugging error ,Very Poor,ian,ian
916,keep good work trevor team registered good progress ,Good,,
917,easily adapt new technology ,Very Poor,,
918,umaruattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,,
919,thank sharifa leading team assignment please take note lesson learnt apply next assignment accordingly ,Very Poor,sharifa,sharifa
920,asingwire integrate sm application also write ussd application ,Very Poor,,
921,thank viola commitment resilienceencourage interact colleague share challenge facing learning writing code help ,Very Poor,,
922,using php mysqli kimuli writesimple ussd application integrates sm deploys onlive server github getting familiar technology ,Very Poor,,
923,lilian successfully set mobile app development enviroment ,Poor,,
924,derick use php mysql alongside africa stalking developedsimple ussd application ,Very Poor,africa,africa
925,using php bazaale write code sendsimple sm user ,Very Poor,,
926,good job however need specific task ,Good,,
927,progressive ,Neutral,,
928,able graphic web design work ,Very Poor,,
929,despite transport challenge managed complete weektasks configuring vlans layer 2 device installing software end device ,Poor,2,2
930,solution challenge student downloading video recorded support group ,Very Poor,,
931,well done able articulate programming environment even zoom ,Very Poor,,
932,xavier completed weekmain task setting mobile app development enviroment without challenge ,Excellent,,
933,ok well done ,Very Poor,,
934,give time understand well database design ,Very Poor,,
935,timothy set uplamp stack install apache2 php mysql server phpmyadmin onubuntu server secure sql server withpassword however learns slowly ,Very Poor,apache2,apache2
936,progressive irrespective slow internet ,Very Poor,,
937,using php mysql kirya writesimple ussd application support afrika stalking ,Very Poor,,
938,patricia writesimple sm ussd application supported php mysqli using africa stalking api push code remote repositoryguided make secure deployment succeeded ,Very Poor,africa,africa
939,company ,Very Poor,,
940,collaborative development using git hub waskey skill set learnt week ,Very Poor,,
941,began report finishing work hand ,Very Poor,,
942,multi tasked since multiple task hand ,Very Poor,,
943,progressive ,Neutral,,
944,kaweesi gotgood introduction working web file connect asset properly also acquired basic knowledge working php also deploy code onremote server github ,Very Poor,kaweesi gotgood,kaweesi gotgood
945,progressive ,Neutral,,
946,progressive ,Neutral,,
947,rebecca successfully set mobile app development enviroment ,Poor,,
948,studentappreciation positive regard web hook technology asmeans updatingsecondary platform event occurring reference platform ,Very Poor,asmeans,asmeans
949,thank hillary keeping fire burning please try encourage team member also move fast project fall behind schedule ,Very Poor,,
950,despite afew challenge jacintah managed complete weekmain task setting mobile app development enviroment ,Poor,,
951,businge obtained knowledge working php mysql also write simple ussd sm application ,Very Poor,,
952,matia writesimple php application push code github still hasproblem ussd ,Very Poor,,
953,tuyizere set apache2 php secure php mysql server onubuntu remote vps obtained knowledge working cpanel connect remote server todns zone secure ssl certificate ,Very Poor,apache2,apache2
954,remote itc support usingteamviewer obtained knowledge php mysql push code togithub repository deploy remote secure server ,Very Poor,,
955,progressive ,Neutral,,
956,despite network issue calvin managed set mobile app development enviroment ,Poor,,
957,like challenge try different approach solvingproblem ,Very Poor,,
958,challenged laptop ,Very Poor,,
959,learnt collaborative development wasnew skillset ,Very Poor,learnt collaborative development wasnew,learnt collaborative development wasnew
960,keep positive attitude commitment jedidiah please engage colleague complete project within scheduled time ,Very Poor,,
961,fast learning new technology linux container erpnext frappejs impressive ,Very Poor,,
962,student taught use lxd lxc virtualization platform though isnew platform lot advantage comparedd docker ,Very Poor,,
963,student successfully completed assignment local instance erpnext platform noted backup pelican saas platform time instance student working migrated main platform ,Very Poor,,
964,bronsongrasp new technology really impressive effort web hook helped company change way implemented database driven event notification student lead developer payment gateway integration ,Very Poor,,
965,good work started well since pdf csv conversion incomplete okay move next week rest task wait week regard conversion split task 1 reading pdf text 2 formatting text 3 linking csv library 4 generating csv good luck ,Very Poor,"next week, week, 1, 2, 3, 4","next week, week, 1, 2, 3, 4"
966,mayanja adrian performed well ecommerce analysis get insight help business perform good ,Very Poor,mayanja adrian,mayanja adrian
967,progressive ,Neutral,,
968,progressive ,Neutral,,
969,progressed crud ,Very Poor,,
970,progressive ,Neutral,,
971,micheal quite proactive solving issue come developing also take feedback positively last week fruitful able deliver do satisfactorily ,Very Poor,last week,last week
972,indicated progress task assigned intern week 3 reviewed completion acknowledged ,Very Poor,week 3,week 3
973,good progress racheal please organise team ensure commit push code seamlessly ,Very Poor,,
974,keep good work area improvement collaborate front end team keep good work ,Good,,
975,transport challengeencourage andrew plan movement abit early ,Very Poor,andrew plan movement,andrew plan movement
976,batale obtained knowledge working sm ussd using php mysql ,Very Poor,batale,batale
977,advised collate result colleague otherwise great work ,Very Poor,,
978,good understanding transact sql managed understand good programming design principle ,Good,,
979,task concept well understood dolot practice good work done ,Good,,
980,practice installing customizing theme excellent work ,Very Poor,,
981,done well andwas impressed ,Very Poor,,
982,encourage ssemuga always find time come stratcom practice incase challenge contact lead trainer ,Very Poor,,
983,take accountability everything done dependable ,Very Poor,,
984,thank mariam hanging please keep spirit try move fast ,Very Poor,mariam,mariam
985,progressive ,Neutral,,
986,thank nabil active member team course assignment please take note lesson going second assignment ,Very Poor,"nabil, second","nabil, second"
987,week challenging considered progressive becauselooked work coped others ,Very Poor,week,week
988,progressive task hand ,Neutral,,
989,impressed selected deployment strategy model iann went existing simple framework opposed building new interface scratch isvery good testing making rapid change interface model lightly coupled ,Very Poor,,
990,multitasked well activity hand ,Very Poor,,
991,task delivered time ,Excellent,,
992,progressive collaborative development ,Very Poor,,
993,timothy challenge coding backend however initiative researched online solution able resolve challenge since working remotely due covid19 point team member finished required task contributing codeam sacrificed ability work asteam member andleader howeverhad noticed came location challenge dressing code befitting corporate cultureasked come discus project progress one one took time advice improve dress code ,Very Poor,"timothy challenge, one one","timothy challenge, one one"
994,need work otherwise shown great agility resilience pressure interpersonal skill also getting good ,Very Poor,,
995,thanks viola keep spirit wind assignment move next one ,Very Poor,,
996,challenged computerram disk capacity ,Very Poor,,
997,thank ryan diligence focus please keep ,Very Poor,ryan diligence,ryan diligence
998,umarattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,umarattendance record week,umarattendance record week
999,benadetteencourage review solution design document second project carefully proceed development ,Very Poor,second,second
1000,geofrey obtained knowledge making payment integration php j html mysqli therefore enable customer pay online ,Very Poor,geofrey,geofrey
1001,louisa maanaged complete weekmain task setting database enviroment mobile app ,Excellent,,
1002,magembe writesimple sm ussd application using africa stalking api also deploy code remote server learning isprocess ,Very Poor,africa,africa
1003,davis successfully completed weektasks without challenge hea promising developer ,Excellent,davis,davis
1004,sam faced internship related challenge hedoing well far ,Poor,sam,sam
1005,student successfully mastered interface graphic design software ,Very Poor,,
1006,timothy successfully completed weektasks activate routing protocol layer 3 device install software pc ,Excellent,"timothy successfully, 3","timothy successfully, 3"
1007,successfully completed weekmain task setting database enviroment mobile appalso encourage abdullah get used debugging error since debugging inseparable coding ,Excellent,,
1008,thank zaharah effort assignmentencourage cooperate team colleague synchronise work good performance asteam attain project objective ,Very Poor,,
1009,yvette completed weekmain taske setting database enviroment mobile app ,Excellent,,
1010,week wound solomon exhibited impressive skill handling issue arising organizationprinters scanner photocopier please maintain ,Very Poor,,
1011,ishardworking student good oral communication self confident ,Good,,
1012,hard working ,Very Poor,,
1013,paul isself driven individual provided great service new norad project ledteam 4 people splitting task web site able quickly learn new framework importantly deliver quality work ,Very Poor,"norad, 4","norad, 4"
1014,take accountability everything done dependable ,Very Poor,,
1015,good job keep ,Good,,
1016,making steady progress session start time none missed far keep ,Very Poor,,
1017,ronald doesnneed internet complete networking tasksencourage use networking equipment stratcom practice ,Very Poor,ronald doesnneed,ronald doesnneed
1018,steven perfected command needed activate routing protocol layer 3 device well ,Very Poor,3,3
1019,resty successfully set database enviroment mobile appencourage upgrade machine ,Very Poor,,
1020,gloria completed weekmain task setting database environment mobile app ,Excellent,,
1021,completed sprint successfully managed get comfortable frontend code repo ,Excellent,,
1022,encourage hilda practice cisco io command using simulation software called packet tracer whenever time free come stratcom use set configure networking device ,Very Poor,,
1023,despite internet challenge mary managed complete weekmain tasksalso encourage make use recording also contact lead developer incase coding challenge ,Poor,,
1024,successfully completed weekmain task setting database environment mobile app ,Excellent,,
1025,successfully set database environment mobile app well far ,Excellent,,
1026,still need improve coding capability nevertheless work completed ,Very Poor,,
1027,slow machine frustrate developerencourage aida upgrade machine good performance ,Good,,
1028,strong well fused soldering bead created student using soldering gun student demonstrated proper use reading ofdigital multimeter ,Very Poor,,
1029,working prediction analysis walmart datasets takeslot detailing happy contribution ,Very Poor,,
1030,chrispus successfully set database enviroment mobile appalso encourage get used debugging error since innevitable ,Very Poor,,
1031,lubega nabunjeshowlot promise work really focused andm happy commitment dedication put project ,Very Poor,lubega,lubega
1032,willing take responsibility self driven ,Very Poor,,
1033,matia acquired knowledge integration payment web system using php j html ,Very Poor,,
1034,basic filtering function group data across different datasets done reviewed hadlot conversation handle gps data used enrich dataset description ,Very Poor,,
1035,flexible easily adapts new skill thing ,Very Poor,,
1036,work done time ,Very Poor,,
1037,aspiring developer hate coding error mariam whatever debugging code run ,Very Poor,mariam,mariam
1038,lucky write simple ussd sm application also make mobile money card integration using flutterwave php html j level writecomplete project deploy onsecure live server ,Very Poor,,
1039,first set visualization data completed ismajor milestone internship visualization serve asguide developing endpoint web dashboard handle member team ,Very Poor,first,first
1040,despitefew challenge especially tool managed set development environment formobile delivery app ,Poor,,
1041,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1042,joan require constant supervision joanattendance record week exceedingly proper continued maintaingood working relationship team member assigned ,Good,joan,joan
1043,time internet issue innevitable despite challenge dauglas managed complete weekmain task setting database enviroment mobile app ,Poor,,
1044,despite afew coding error successfully debugged alex managed complete weektasks ,Poor,,
1045,despite afew challenge joshua managed complete weekmain task setting database enviroment mobile app ,Poor,,
1046,incase internet connectivity issuesencourage francis make use recording also free contact lead developer help time ,Very Poor,,
1047,completed weektasks configuring routing protocol layer 3 device installing application software end device ,Excellent,3,3
1048,benonattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,,
1049,charlotte perfected command needed activate enable interior gateway routing protocol layer 3 device ,Very Poor,"charlotte perfected command needed, 3","charlotte perfected command needed, 3"
1050,martha get used debugging error since itpart coding ,Very Poor,martha,martha
1051,successfully completed task well elaborated medium article ,Excellent,,
1052,kenneth knowledge writing ussd sm application php mysqli supported africa stalking api ,Very Poor,kenneth knowledge,kenneth knowledge
1053,kenneth acquired knowledge writingpayment integration inweb system integrate mtn airtel mobile money well paypal card using php mysqli html j ,Very Poor,,
1054,shedoing great ,Very Poor,,
1055,advised preparepresentation team basic sketch ,Very Poor,,
1056,despite afew coding challenge moses managed successfully set updatabase mobile app ,Poor,,
1057,marvin managed complete weekmain task setting database environment mobile app ,Excellent,,
1058,slow machine frustrate developer soencourage edwin upgrade computer good performance ,Good,,
1059,task worked part initial plan anything change ,Very Poor,,
1060,norah managed complete weektasks also get used debugging coding error ,Poor,norah,norah
1061,satisfied serialization data backend specifically auto formatting model field type native format simplifies use data end application ,Very Poor,,
1062,time rogers distracted motivated enough fully concentrateencourage focus task hand aside managed complete weektask setting database enviroment delivery app ,Very Poor,,
1063,despite error successfully debugged warid managed complete weektasks ,Poor,,
1064,leticia successfully completed weektasks transport challengeencourage plan movementsbit early ,Excellent,,
1065,successfully completed weekmain task configuring routing protocol layer 3 device vlans layer 2 device ,Excellent,"3, 2","3, 2"
1066,thanks priscilla remaining committed persistent please interact team member complete project time ,Very Poor,,
1067,katumba acquired knowledge integrating mobile money credit card payment intoweb system using mysqli php html j ,Very Poor,,
1068,collins met expectation week ,Very Poor,,
1069,slow computer frustratedeveloper soencourage mwesigwa upgrade machine ,Very Poor,,
1070,samson successfully deployed messaging app online accessed one connected internet offer valid 4 month ,Very Poor,4 month,4 month
1071,samuel get used debugging since itpart coding ,Very Poor,,
1072,good ,Good,,
1073,task accomplished time ,Excellent,,
1074,reviewed kampala city html cs work good initiative ,Good,kampala city,kampala city
1075,great progress ,Very Poor,,
1076,musumbaattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,musumbaattendance record week,musumbaattendance record week
1077,pamella successfully set database enviroment mobile app also get used debugging error ,Poor,,
1078,xavier managed complete weekmain task setting database enviroment mobile appalso encourage contact lead developer incase complicated concept ,Excellent,,
1079,hepassionate networking completes task assigned ease ,Very Poor,,
1080,research effort needed understanding mvc architecture ,Very Poor,,
1081,coding error innevitable jackson learn deal debugging ,Very Poor,,
1082,coding error innevitable sandra expect error working project apps fortunately error debugged ,Very Poor,,
1083,please share list literature read shelearned use pyaudioanalysis library ,Very Poor,,
1084,successfully setup database enviroment delivery app ,Excellent,,
1085,research variable condition c ,Very Poor,,
1086,joshua kakembo effectively synchronized well team ita pleasure u period internship providedgood evaluation information clientsasked review week effectively efficiently made update mobvet ug web app project well attended vehicle parking management system php mysql joshuaprogress noticeable ,Very Poor,"joshua kakembo, week","joshua kakembo, week"
1087,nuhu successfully completed weekmain task setting database environment mobile app ,Excellent,,
1088,jacob walk stratcom training sessionsencourage continue walking itgood health ,Very Poor,,
1089,lilian successfully completed weekmain task setting database enviroment mobile app ,Excellent,,
1090,despitefew challenge carolus managed start internship stratcom ,Poor,,
1091,emmanuel completed weektasks challenge ,Excellent,,
1092,thank shivan please keep spirit interact colleague complete assignment time ,Very Poor,,
1093,guided nicholas working different technology using access expose data done quick learner course drf odata endpoint ready implement solution ,Very Poor,,
1094,research needed object class ,Very Poor,,
1095,mwangi learnt new skillset online collaboration development ,Very Poor,mwangi learnt,mwangi learnt
1096,successfully completed weekmain task setting database environment mobile app ,Excellent,,
1097,git hub collaborative development area focus apollo week delivered team worked week ,Very Poor,git hub collaborative development area focus,git hub collaborative development area focus
1098,raymond managed complete weekmain task setting database enviroment mobile app ,Poor,raymond,raymond
1099,devotion effort putting learning process quite impressing please keep going ,Very Poor,,
1100,jacintah successfully completed weekmain task setting database enviroment mobile app ,Excellent,jacintah,jacintah
1101,first milestone internship analyzing visualizing first dataset completed analysis used guide creation apito expose visualize data throughweb application team memberslook forward analysis new data shared ,Very Poor,"first, first","first, first"
1102,thank andrew diligence exhibited first assignmentencourage carry second assignmentwill get touch trevor wrap first assignment conduct user acceptance test ,Very Poor,"andrew diligence, first, second","andrew diligence, first, second"
1103,despitefew challenge daniel completed weekmain task setting development database environment formobile delivery app ,Excellent,,
1104,great progress share literature read audio generation ,Very Poor,,
1105,despite covid restriction resty managed come stratcom complete weektasks ,Poor,,
1106,aim task introduce mr kiyingi approach business development research submitted tender opportunity able submitproposal one havenreceived communication purchaser tender awarded ,Very Poor,"kiyingi approach business development, one","kiyingi approach business development, one"
1107,good performance isaac sempiira ,Good,,
1108,mulema obtained knowledge working php sql write simple php script well sql also push code repository deploy remote server ,Very Poor,,
1109,progressive ,Neutral,,
1110,development environment challenge late sorted ,Very Poor,,
1111,ruth successfully completed weekmain task setting database enviroment mobile app incase poor networkencourage make use recording contact lead developer guidance ,Excellent,ruth successfully,ruth successfully
1112,patricia managed complete weekmain task configuring routing protocol layer 3 device installing operating system without challenge ,Excellent,"patricia, 3","patricia, 3"
1113,successfully handled task computer hardware maintenance given ,Excellent,,
1114,emilly successfully completed weekmain task setting database enviroment mobile app ,Excellent,,
1115,andrewattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,andrewattendance record week,andrewattendance record week
1116,thanks alex effort please interact teamwill expand team next week ,Very Poor,"alex effort, next week","alex effort, next week"
1117,encourage muyimba continue walking stratcom walking good health ,Very Poor,,
1118,rafusanjani obtained knowledge integrating payment intoweb system using mysqli php html j ,Very Poor,rafusanjani,rafusanjani
1119,nothing hard complicated doneencourage ian make use internet research backend development ,Very Poor,ian,ian
1120,learnt new skill set collaborative development using git hub ,Very Poor,,
1121,student presented admin user interface successful ,Very Poor,,
1122,progressive ,Neutral,,
1123,great work enumeration datasets let know case issue setting heroku ,Very Poor,,
1124,great step setting pontoon focus linking pontoon github project sample string ,Very Poor,,
1125,gotgood introduction php learn time ,Very Poor,,
1126,namale slowly acquiring knowledge writing real world software solve real work problem process knowing make payment integration mobile money card using simple html j mysqli php learning isprocess ,Very Poor,,
1127,derick obtained knowledge making mobile money credit card payment integration sung php html j mysqli ,Very Poor,sung php,sung php
1128,kenneth successfully completed weekmain task setting database enviroment mobile delivery appalso encourage always refer recorded video end session incase unstable internet contact leader developer guidance ,Excellent,kenneth successfully,kenneth successfully
1129,harnest completed weektasks without challenge hedoing well ,Excellent,,
1130,complete task posting chat remote server task working ,Excellent,,
1131,managed complete weekmain task setting database environment mobile app ,Excellent,,
1132,mutamba abudi done well first week analyst intern analysing metric companysocial medium platform isself driven young man waysee itworkaholic performed duty assigned first week neatly flaw observed week still lackslittle bit confidence talking tolarge group people glad intern hope grow skill business aswhole internship ,Very Poor,"first week, first week, observed week","first week, first week, observed week"
1133,progressive ,Neutral,,
1134,using wire integrate credit card andmobile money payment inweb system using mysql php html j ,Very Poor,,
1135,bazaale acquired knowledge working ussd sm application also make mobile money card integration web portal ,Very Poor,,
1136,completed successfully ,Excellent,,
1137,discussion completed successfully ,Excellent,,
1138,clear understanding gprs service ,Very Poor,,
1139,discussion service flow went well ,Very Poor,,
1140,finished creative work focused networking ,Very Poor,,
1141,getting understanding basic concept managed designsimple form ,Very Poor,,
1142,managed multiple task assigned balance properly ,Very Poor,,
1143,isfast learner asks question doesnunderstand ,Very Poor,,
1144,thank kenneth effortsencourage strive towards attaininghigher level consistency punctuality two critical aspect personal discipline greatly contributes success professional keep positive vibe energy ,Very Poor,"kenneth, two","kenneth, two"
1145,thank racheal effortsencourage mobilise energise team effort everybody sync need bring assignment toclose ,Very Poor,,
1146,kaweesi writesimple ussd sm application using africa stalking api also write simple sql command like insert create select order desc asc etc also execute command using php mysqli ,Very Poor,africa,africa
1147,indicated progress task assigned intern week 4 reviewed completion acknowledged ,Very Poor,week 4,week 4
1148,indicated progress task assigned intern week 4 reviewed completion acknowledged ,Very Poor,week 4,week 4
1149,progressive ,Neutral,,
1150,done ,Very Poor,,
1151,challenged computer week ,Very Poor,challenged computer week,challenged computer week
1152,progressive ,Neutral,,
1153,thank sharifa always embracing leadership attendant challengesencourage take time understand second assignment necessarily codingwebsite extending functionality ofwordpress website way buildingplugin help management company operation onday day basis ,Very Poor,"sharifa, second, onday day","sharifa, second, onday day"
1154,calvin successfully completed weekmain task setting database environment mobile app ,Excellent,,
1155,task 1 3 done well task 4 completed please take time complete ,Excellent,"1 3, 4","1 3, 4"
1156,despite limited time student able accomplish task showed extra interest learning ,Very Poor,,
1157,thank walteram interested knowing actual detail task working progress shall discus coming weekstandup meeting ,Very Poor,,
1158,thank walter staying course please try detailed particular presenting task accomplished inweek progress good understanding professional development ,Very Poor,walter staying,walter staying
